candidato,url,caption,data,likes,shortCode,comentarios,categoria,validacao_1,subcategoria,validacao_2,formato,periodo,Observação,...14
Lula,https://www.instagram.com/p/DcWrsQsN8qD/,"O DataPovo não deixa dúvida: os atos de campanha do presidente Lula mobilizam multidões por onde passam.

Rio de Janeiro, Belo Horizonte, São Paulo, Natal. Em cada cidade, o povo mostra que está com Lula e quer fazer parte dessa corrente de esperança e desse momento histórico.

E isso é só o começo. Ainda tem muito encontro pela frente até a vitória. O DataPovo vai continuar registrando essa força e quebrando recordes! ❤️

——
Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02.",2026-08-22T00:00:00Z,131407,DcWrsQsN8qD,6352,Conteúdo Programático,Conteúdo programático,Mobilização Política,Mobilização política,Foto,16-22_08,NA,NA
Lula,https://www.instagram.com/p/DcFNDSKOFTh/,"Minha volta à Vila Euclides é uma viagem ao passado e à história de luta dos trabalhadores brasileiros, que tiveram papel fundamental na reconquista da democracia.

Este estádio foi palco de uma história escrita pelas mãos de homens e mulheres que nos permitiram sonhar com um Brasil soberano, democrático e que pode muito mais. ❤️

 @ricardostuckert",2026-08-16T00:00:00Z,120942,DcFNDSKOFTh,6104,Conteúdo Personalista,Conteúdo personalista,Identidade,Identidade,Vídeo,16-22_08,NA,NA
Lula,https://www.instagram.com/p/DcV96NSuE0m/,"Minas é terra de mulheres que não se curvam. ❤️

——
Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02.",2026-08-22T00:00:00Z,114363,DcV96NSuE0m,6458,Conteúdo Personalista,Conteúdo personalista,Identidade,Identidade,Vídeo,16-22_08,NA,NA
Lula,https://www.instagram.com/p/DcHXMJtNTrz/,"Deus sempre foi muito generoso comigo. Ele fez o povo e foi o povo que me fez quem sou hoje.

Obrigado, povo brasileiro. ❤️

Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02.",2026-08-16T00:00:00Z,111439,DcHXMJtNTrz,4375,Conteúdo Personalista,Conteúdo personalista,Identidade,Identidade,Foto,16-22_08,NA,NA
Flavio,https://www.instagram.com/p/DcSAzQ4xDt-/,"Devemos chamar a polícia?  
Siga @lucaspavanato e @flaviobolsonaro 

Vem de 2️⃣2️⃣ e 2️⃣2️⃣1️⃣1️⃣",2026-08-21T00:00:00Z,943806,DcSAzQ4xDt-,43212,Conteúdo Personalista,Conteúdo personalista,Relações Pessoais E Interpessoais,Relações pessoais e interpessoais,video (possui IA),16-22_08,NA,NA
Flavio,https://www.instagram.com/p/DcFhCO7pnCh/,"Começou o jogo e o Brasil precisa de você. Em outubro, para tirar o nosso país do vermelho, aperte 22 e confirma. 

É Flávio Bolsonaro presidente e @alfredogaspar vice. 

O Brasil vai vencer!

Partido Liberal - PL- 68.581.907/0001-25",2026-08-16T00:00:00Z,544023,DcFhCO7pnCh,28626,Conteúdo Programático,Conteúdo programático,Mobilização Política,Mobilização Política,Foto,16-22_08,NA,NA
Flavio,https://www.instagram.com/p/DcGviJyppP6/,"Começamos esse domingo e essa campanha com o pé direito, mais que prontos para tirar o Brasil do vermelho. 

O recado das ruas é claro: FORA LULA. Vamos resgatar o nosso país e fazer do Brasil grande novamente. O Brasil vai vencer! 

#ForaLula #FlavioBolsonaro #FlavioBolsonaro22 #OBrasilVaiVencer #Bolsonaro",2026-08-16T00:00:00Z,483350,DcGviJyppP6,32984,Conteúdo Personalista,Conteúdo personalista,Identidade,Identidade,Vídeo,16-22_08,NA,NA
Flavio,https://www.instagram.com/p/DcWjgpZJ1TS/,"Chegueeeeeeeeeeeeeeeeei, Barretos!",2026-08-22T00:00:00Z,404373,DcWjgpZJ1TS,17484,Conteúdo Personalista,Conteúdo personalista,Identidade,Identidade,Vídeo,16-22_08,NA,Esse aqui é difícil sem o vídeo completo
Flavio,https://www.instagram.com/p/DcTF-pmpCXo/,"NÃO PULE ESTE VÍDEO! 
Hoje você vai conhecer o entrevistador mais difícil que eu já enfrentei, o @nikolasferreiradm . A íntegra da entrevista está no canal do Nikolas no YouTube. Corre lá!

Vote 22 O Brasil vai vencer!",2026-08-21T00:00:00Z,325292,DcTF-pmpCXo,17238,Conteúdo Personalista,Conteúdo personalista,Relações Pessoais E Interpessoais,Relações pessoais e interpessoais,Vídeo,16-22_08,NA,NA
Flavio,https://www.instagram.com/p/DcR3dLKB3w2/,"Hoje foi dia de apresentar ao senador Flávio Bolsonaro projetos e políticas públicas que vêm transformando a vida das pessoas.

É na ponta que a gente vê os resultados: mais dignidade, comida de qualidade na mesa e a certeza de que uma boa política pública faz diferença no dia a dia.

E, de quebra, ainda deu tempo de bater aquela bolinha e o @flaviobolsonaro marcou dois gols! ⚽️",2026-08-20T00:00:00Z,165780,DcR3dLKB3w2,7226,Conteúdo Programático,Conteúdo programático,Prestação De Contas,Prestação de contas,Vídeo,16-22_08,NA,NA
